Дата;Амп. (B);Амп. (C)
24.10.2023;0,23;0,34
25.10.2023;0,13;0,18
26.10.2023;0,15;0,23
27.10.2023;0,27;0,34
28.10.2023;0,26;0,44
29.10.2023;0,26;0,35
30.10.2023;0,15;0,21
31.10.2023;0,15;0,22
01.11.2023;0,16;0,25
02.11.2023;0,26;0,36
03.11.2023;0,12;0,16
04.11.2023;0,24;0,36
05.11.2023;0,26;0,32
06.11.2023;0,26;0,36
07.11.2023;0,19;0,28
08.11.2023;0,16;0,25
09.11.2023;0,22;0,34
10.11.2023;0,15;0,23
11.11.2023;0,17;0,27
12.11.2023;0,33;0,37
13.11.2023;0,22;0,27
14.11.2023;0,12;0,16
15.11.2023;0,16;0,23
16.11.2023;0,25;0,31
17.11.2023;0,24;0,31
18.11.2023;0,11;0,15
19.11.2023;0,11;0,17
20.11.2023;0,12;0,18
21.11.2023;0,11;0,15
22.11.2023;0,11;0,15
23.11.2023;0,14;0,2
24.11.2023;0,27;0,38
25.11.2023;0,13;0,18
26.11.2023;0,27;0,39
27.11.2023;0,42;0,39
28.11.2023;0,12;0,16
29.11.2023;0,21;0,33
30.11.2023;0,23;0,35
01.12.2023;0,1;0,2
02.12.2023;0,17;0,28
03.12.2023;0,25;0,36
04.12.2023;0,21;0,34
05.12.2023;0,25;0,36
06.12.2023;0,27;0,38
07.12.2023;0,25;0,31
08.12.2023;0,25;0,31
09.12.2023;0,24;0,3
10.12.2023;0,29;0,32
11.12.2023;0,27;0,34
12.12.2023;0,27;0,32
13.12.2023;0,15;0,25
14.12.2023;0,21;0,31
15.12.2023;0,29;0,31
16.12.2023;0,39;0,37
17.12.2023;0,43;0,4
18.12.2023;0,53;0,62
19.12.2023;0,58;0,69
20.12.2023;0,4;0,61
21.12.2023;0,38;0,5
22.12.2023;0,28;0,38
23.12.2023;0,4;0,62
24.12.2023;0,2;0,35
25.12.2023;0,18;0,34
26.12.2023;0,33;0,49
27.12.2023;0,23;0,35
28.12.2023;0,23;0,41
29.12.2023;0,37;0,63
30.12.2023;0,38;0,84
31.12.2023;0,29;0,59
01.01.2024;0,23;0,36
02.01.2024;0,2;0,35
03.01.2024;0,17;0,3
04.01.2024;0,17;0,28
05.01.2024;0,16;0,25
06.01.2024;0,22;0,32
07.01.2024;0,19;0,29
08.01.2024;0,2;0,26
09.01.2024;0,33;0,35
10.01.2024;0,68;0,93
11.01.2024;0,59;0,99
12.01.2024;0,22;0,32
13.01.2024;0,25;0,36
14.01.2024;0,25;0,37
15.01.2024;0,27;0,49
16.01.2024;0,52;0,55
17.01.2024;0,25;0,35
18.01.2024;0,49;0,72
19.01.2024;0,47;0,65
20.01.2024;0,19;0,34
21.01.2024;0,26;0,38
22.01.2024;0,32;0,33
23.01.2024;0,21;0,33
24.01.2024;0,21;0,33
25.01.2024;0,23;0,35
26.01.2024;0,2;0,32
27.01.2024;0,18;0,32
28.01.2024;0,21;0,42
29.01.2024;0,21;0,37
30.01.2024;0,36;0,48
31.01.2024;0,44;0,54
01.02.2024;0,43;0,4
02.02.2024;0,46;0,48
03.02.2024;0,25;0,38
04.02.2024;0,36;0,58
05.02.2024;0,23;0,35
06.02.2024;0,37;0,42
07.02.2024;0,31;0,66
08.02.2024;0,3;0,46
09.02.2024;0,24;0,34
10.02.2024;0,23;0,37
11.02.2024;0,23;0,87
12.02.2024;0,92;0,92
13.02.2024;0,86;0,94
14.02.2024;0,25;0,37
15.02.2024;0,24;0,37
16.02.2024;0,2;0,32
17.02.2024;0,18;0,29
18.02.2024;0,35;0,42
19.02.2024;0,21;0,23
20.02.2024;0,2;0,23
21.02.2024;0,2;0,23
22.02.2024;0,25;0,28
23.02.2024;0,36;0,49
24.02.2024;0,38;0,32
25.02.2024;0,21;0,25
26.02.2024;0,2;0,22
27.02.2024;0,16;0,21
28.02.2024;0,14;0,2
29.02.2024;0,19;0,58
01.03.2024;0,2;0,27
02.03.2024;0,25;0,65
03.03.2024;0,17;0,23
04.03.2024;0,15;0,23
05.03.2024;0,19;0,26
06.03.2024;0,21;0,23
07.03.2024;0,23;0,67
08.03.2024;0,31;0,34
09.03.2024;0,38;0,37
10.03.2024;0,17;0,24
11.03.2024;0,17;0,28
12.03.2024;0,2;0,26
13.03.2024;0,25;0,32
14.03.2024;0,24;0,44
20.03.2024;0,14;0,23
21.03.2024;0,2;0,25
22.03.2024;0,21;0,31
23.03.2024;0,62;1
24.03.2024;0,42;0,84
25.03.2024;0,49;0,99
26.03.2024;0,3;0,48
27.03.2024;0,18;0,29
28.03.2024;0,18;0,23
29.03.2024;0,17;0,26
30.03.2024;0,25;0,37
31.03.2024;0,17;0,27
01.04.2024;0,17;0,26
02.04.2024;0,14;0,21
03.04.2024;0,16;0,27
04.04.2024;0,17;0,26
05.04.2024;0,15;0,22
06.04.2024;0,16;0,22
07.04.2024;0,22;0,35
08.04.2024;0,28;0,41
09.04.2024;0,19;0,31
10.04.2024;0,14;0,25
11.04.2024;0,17;0,59
12.04.2024;0,13;0,26
13.04.2024;0,43;0,56
14.04.2024;0,53;0,75
15.04.2024;0,84;0,96
16.04.2024;0,21;0,67
17.04.2024;0,57;0,69
18.04.2024;0,6;0,8
19.04.2024;0,9;0,87
20.04.2024;0,13;0,18
21.04.2024;0,25;0,31
22.04.2024;0,13;0,18
23.04.2024;0,13;0,17
24.04.2024;0,18;0,24
25.04.2024;0,13;0,19
26.04.2024;0,46;0,43
27.04.2024;0,3;0,41
28.04.2024;0,27;0,49
29.04.2024;0,14;0,23
30.04.2024;0,21;0,23
01.05.2024;0,13;0,19
02.05.2024;0,16;0,28
03.05.2024;0,14;0,23
04.05.2024;0,21;0,27
05.05.2024;0,19;0,31
06.05.2024;0,61;0,75
07.05.2024;0,97;0,99
08.05.2024;0,5;0,72
09.05.2024;0,26;0,39
10.05.2024;0,31;0,53
11.05.2024;0,93;0,85
12.05.2024;0,21;0,68
13.05.2024;0,15;0,29
14.05.2024;0,16;0,23
15.05.2024;0,25;0,35
16.05.2024;0,2;0,34
17.05.2024;0,69;0,75
18.05.2024;0,91;0,99
19.05.2024;0,21;0,36
20.05.2024;0,23;0,34
21.05.2024;0,36;0,43
22.05.2024;0,52;1,35
23.05.2024;0,19;0,32
24.05.2024;0,22;0,26
25.05.2024;0,31;0,37
26.05.2024;0,23;0,34
27.05.2024;0,25;0,4
28.05.2024;0,21;0,25
29.05.2024;0,24;0,34
30.05.2024;0,25;0,31
31.05.2024;0,38;0,56
01.06.2024;0,22;0,37
02.06.2024;0,23;0,34
03.06.2024;0,27;0,37
04.06.2024;0,26;0,36
05.06.2024;0,4;0,64
06.06.2024;0,78;1,75
07.06.2024;0,77;1,75
08.06.2024;0,69;2,3
09.06.2024;1,34;2,34
10.06.2024;0,51;0,97
11.06.2024;0,29;0,52
12.06.2024;2,12;1,69
13.06.2024;2,5;3,37
14.06.2024;1,23;3,21
15.06.2024;0,75;2,38
16.06.2024;1,07;1,64
17.06.2024;0,3;0,5
18.06.2024;0,36;0,58
19.06.2024;0,33;0,5
20.06.2024;0,3;0,63
21.06.2024;0,2;0,31
22.06.2024;0,16;0,27
23.06.2024;0,23;0,43
24.06.2024;0,17;0,38
25.06.2024;0,17;0,36
26.06.2024;0,22;0,45
27.06.2024;0,21;0,32
28.06.2024;0,18;0,29
29.06.2024;0,22;0,31
30.06.2024;0,25;0,39
01.07.2024;0,29;0,44
02.07.2024;0,28;0,47
03.07.2024;0,18;0,35
04.07.2024;0,25;0,43
05.07.2024;0,2;0,41
06.07.2024;0,26;0,61
07.07.2024;0,23;0,33
08.07.2024;0,29;0,47
09.07.2024;0,23;0,4
10.07.2024;0,22;0,39
11.07.2024;0,18;0,28
12.07.2024;0,23;0,35
13.07.2024;0,23;0,39
14.07.2024;0,22;0,47
15.07.2024;0,27;0,58
16.07.2024;0,29;0,43
17.07.2024;0,28;0,38
18.07.2024;0,28;0,35
19.07.2024;2,01;1,5
20.07.2024;0,16;0,43
21.07.2024;0,17;0,39
22.07.2024;0,33;0,51
23.07.2024;0,35;0,49
24.07.2024;0,15;0,31
25.07.2024;0,28;0,42
26.07.2024;0,23;0,27
27.07.2024;0,27;0,34
28.07.2024;0,32;0,42
29.07.2024;0,4;0,52
